a9eb4238-eba9-488c-b102-b6140fd08e38;2021-04-26T04:00:00Z;134.64;133.99;135;133.3;378;
a9eb4238-eba9-488c-b102-b6140fd08e38;2021-04-26T04:01:00Z;134;133.77;134;133.7;96;
a9eb4238-eba9-488c-b102-b6140fd08e38;2021-04-26T04:02:00Z;133.84;134.14;134.14;133.84;73;
a9eb4238-eba9-488c-b102-b6140fd08e38;2021-04-26T04:03:00Z;134;134.03;134.13;133.95;46;
a9eb4238-eba9-488c-b102-b6140fd08e38;2021-04-26T04:04:00Z;134.14;134.2;134.2;134.04;86;
a9eb4238-eba9-488c-b102-b6140fd08e38;2021-04-26T04:05:00Z;134.2;134.32;134.32;134.2;50;
a9eb4238-eba9-488c-b102-b6140fd08e38;2021-04-26T04:06:00Z;134.32;134.25;134.32;134.25;25;
a9eb4238-eba9-488c-b102-b6140fd08e38;2021-04-26T04:07:00Z;134.38;134.39;134.39;134.25;15;
a9eb4238-eba9-488c-b102-b6140fd08e38;2021-04-26T04:08:00Z;134.38;134.39;134.39;134.38;65;
a9eb4238-eba9-488c-b102-b6140fd08e38;2021-04-26T04:09:00Z;134.39;134.3;134.39;134.2;13;
a9eb4238-eba9-488c-b102-b6140fd08e38;2021-04-26T04:10:00Z;134.4;134.4;134.4;134.28;18;
a9eb4238-eba9-488c-b102-b6140fd08e38;2021-04-26T04:11:00Z;134.28;134.39;134.39;134.28;43;
a9eb4238-eba9-488c-b102-b6140fd08e38;2021-04-26T04:12:00Z;134.3;134.4;134.4;134.3;22;
a9eb4238-eba9-488c-b102-b6140fd08e38;2021-04-26T04:13:00Z;134.4;134.31;134.4;134.31;28;
a9eb4238-eba9-488c-b102-b6140fd08e38;2021-04-26T04:14:00Z;134.35;134.4;134.4;134.35;6;
a9eb4238-eba9-488c-b102-b6140fd08e38;2021-04-26T04:15:00Z;134.37;134.47;134.47;134.37;655;
a9eb4238-eba9-488c-b102-b6140fd08e38;2021-04-26T04:16:00Z;134.47;134.5;134.5;134.47;56;
a9eb4238-eba9-488c-b102-b6140fd08e38;2021-04-26T04:17:00Z;134.5;134.6;134.6;134.5;9;
a9eb4238-eba9-488c-b102-b6140fd08e38;2021-04-26T04:18:00Z;134.65;134.69;134.69;134.65;97;
